source,id,name,date,latitude,longitude,altitude_m,mass_g,diameter_m,velocity_km_s,miss_distance_km,recclass,orbital_inclination_deg,eccentricity,epoch,x,y,z,vx,vy,vz,energy,impact_e
neo,2003199,3199 Nefertiti (1982 RA),1916-03-16,N/A,N/A,N/A,N/A,4320.586,13.4221932631,7046928.930383422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003200,3200 Phaethon (1983 TB),1924-10-21,N/A,N/A,N/A,N/A,5695.641,33.8777882553,22346299.41517582,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003271,3271 Ul (1982 RB),1949-02-26,N/A,N/A,N/A,N/A,2087.097,13.670272508,11184173.439990127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003288,3288 Seleucus (1982 DV),1982-04-12,N/A,N/A,N/A,N/A,3677.415,6.5008847543,20895360.908845857,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003352,3352 McAuliffe (1981 CW),N/A,N/A,N/A,N/A,N/A,2802.481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003360,3360 Syrinx (1981 VA),1950-12-01,N/A,N/A,N/A,N/A,2664.052,22.563779094,13338427.048959647,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003361,3361 Orpheus (1982 HR),1929-11-12,N/A,N/A,N/A,N/A,526.675,12.9576032296,22268336.171069793,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003362,3362 Khufu (1984 QA),1912-09-09,N/A,N/A,N/A,N/A,850.242,30.0103355297,72881438.226366259,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003551,3551 Verenia (1983 RD),1983-09-16,N/A,N/A,N/A,N/A,1947.792,8.0029025934,12754488.578215235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003552,3552 Don Quixote (1983 SA),1920-12-29,N/A,N/A,N/A,N/A,10605.780,11.8518831198,90060440.678157976,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003553,3553 Mera (1985 JA),N/A,N/A,N/A,N/A,N/A,2257.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003554,3554 Amun (1986 EB),1909-02-03,N/A,N/A,N/A,N/A,2828.412,14.8870508525,58971083.964523861,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003671,3671 Dionysus (1984 KD),1930-11-15,N/A,N/A,N/A,N/A,2165.422,3.3245414486,275200659.748127076,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003691,3691 Bede (1982 FT),N/A,N/A,N/A,N/A,N/A,4441.632,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003752,3752 Camillo (1985 PA),1934-02-14,N/A,N/A,N/A,N/A,4013.679,29.1012701061,14064861.500101975,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003753,3753 Cruithne (1986 TO),1900-07-17,N/A,N/A,N/A,N/A,3511.904,16.5981217724,13746248.824243621,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003757,3757 Anagolay (1982 XB),1900-11-16,N/A,N/A,N/A,N/A,678.489,10.8941174534,27345732.085040378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
