jd,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,distance_km
2460729.5,2025-02-23T00:00:00,2.4527789399937572e+16,-3.1505516194354908e+16,-1427640722828449.5,32839.84554805474,26522.996011482737,4121.209346961585,3.9953074494385624e+16
2460730.5,2025-02-24T00:00:00,2.4772293640935536e+16,-3.1306707352977536e+16,-1396839053127315.5,32667.03918117322,26741.330418068763,4131.088987867767,3.994655951215392e+16
2460731.5,2025-02-25T00:00:00,2.5015501282481944e+16,-3.11062735277475e+16,-1365964420814222.8,32492.464937102755,26958.35582350344,4140.757207006895,3.994047340725734e+16
2460732.5,2025-02-26T00:00:00,2.5257399177404612e+16,-3.0904224562460296e+16,-1335018407798189.2,32316.136247596623,27174.052925264095,4150.213030483438,3.9934816678719e+16
2460733.5,2025-02-27T00:00:00,2.5497974279835884e+16,-3.0700570444349748e+16,-1304002603144330.8,32138.066821758843,27388.40259696367,4159.455514991988,3.99295897896868e+16
2460734.5,2025-02-28T00:00:00,2.5737213647271744e+16,-3.0495321302754016e+16,-1272918602844422.2,31958.270642971645,27601.385893471594,4168.483748103161,3.992479316731624e+16
2460735.5,2025-03-01T00:00:00,2.5975104442607396e+16,-3.028848740774362e+16,-1241768009585399.5,31776.76196571032,27812.98405596898,4177.296848537273,3.9920427202662e+16
2460736.5,2025-03-02T00:00:00,2.621163393614879e+16,-3.0080079168711944e+16,-1210552432515820.5,31593.55531225743,28023.17851695823,4185.893966426654,3.991649225057877e+16
2460737.5,2025-03-03T00:00:00,2.6446789507599204e+16,-2.9870107132928544e+16,-1179273487010461.2,31408.665469283842,28231.950905179066,4194.274283565719,3.991298862963101e+16
2460738.5,2025-03-04T00:00:00,2.6680558648019596e+16,-2.9658581984056092e+16,-1147932794433017.0,31222.10748433251,28439.283050464244,4202.437013648556,3.990991662201168e+16
2460739.5,2025-03-05T00:00:00,2.691292896176287e+16,-2.944551454063144e+16,-1116531981897200.2,31033.896662210358,28645.156988517643,4210.381402492366,3.9907276473470744e+16
2460740.5,2025-03-06T00:00:00,2.7143888168380196e+16,-2.9230915754511052e+16,-1085072682026068.4,30844.048561221567,28849.554965631167,4218.106728254422,3.990506839325215e+16
2460741.5,2025-03-07T00:00:00,2.7373424104499244e+16,-2.9014796709281756e+16,-1053556532709886.0,30652.578989367506,29052.459443284395,4225.61230162681,3.99032925540405e+16
2460742.5,2025-03-08T00:00:00,2.7601524725673564e+16,-2.8797168618637404e+16,-1021985176862550.9,30459.504000400855,29253.853102692945,4232.897466024948,3.9901949091916936e+16
2460743.5,2025-03-09T00:00:00,2.782817810820202e+16,-2.8578042824721812e+16,-990360262176663.0,30264.83988978337,29453.718849268556,4239.961597762601,3.990103810632433e+16
2460744.5,2025-03-10T00:00:00,2.805337245091777e+16,-2.8357430796438796e+16,-958683440877297.2,30068.60319054926,29652.03981698361,4246.804106212984,3.990055966004161e+16
2460745.5,2025-03-11T00:00:00,2.827709607694607e+16,-2.813534412772997e+16,-926956369474694.0,29870.810669084753,29848.799372636367,4253.424433955036,3.990051377916753e+16
2460746.5,2025-03-12T00:00:00,2.849933743543022e+16,-2.791179453582111e+16,-895180708515861.8,29671.479320822375,30043.981120037264,4259.822056906993,3.990090045311392e+16
2460747.5,2025-03-13T00:00:00,2.8720085103224852e+16,-2.768679385943751e+16,-863358122335224.4,29470.626365817392,30237.568904093532,4265.99648444868,3.990171963460807e+16
2460748.5,2025-03-14T00:00:00,2.893932778655613e+16,-2.746035405698925e+16,-831490278804442.1,29268.269244252497,30429.54681479873,4271.947259529385,3.990297123970459e+16
2460749.5,2025-03-15T00:00:00,2.915705432264786e+16,-2.7232487204727024e+16,-799578849081441.4,29064.42561185123,30619.899191120345,4277.673958762728,3.990465514780647e+16
2460750.5,2025-03-16T00:00:00,2.9373253681313148e+16,-2.7003205494869456e+16,-767625507358805.9,28859.113335238046,30808.610624783072,4283.176192505393,3.990677120169549e+16
2460751.5,2025-03-17T00:00:00,2.958791496651126e+16,-2.6772521233702504e+16,-735631930611636.4,28652.350487192653,30995.66596393853,4288.453604924042,3.990931920757216e+16
2460752.5,2025-03-18T00:00:00,2.980102741786852e+16,-2.654044683965171e+16,-703599798344943.6,28444.155341817146,31181.050316761583,4293.505874052511,3.991229893510471e+16
2460753.5,2025-03-19T00:00:00,3.0012580412162864e+16,-2.6306994841328184e+16,-671530792340663.5,28234.546369664477,31364.749054891225,4298.33271182843,3.991571011748722e+16
2460754.5,2025-03-20T00:00:00,3.022256346477211e+16,-2.607217787554937e+16,-639426596404478.5,28023.542232774376,31546.747816795876,4302.933864121225,3.991955245150743e+16
2460755.5,2025-03-21T00:00:00,3.0430966231084548e+16,-2.5836008685334824e+16,-607288896112451.5,27811.161779645896,31727.03251101702,4307.309110745466,3.992382559762335e+16
2460756.5,2025-03-22T00:00:00,3.063777850787186e+16,-2.5598500117878544e+16,-575119378557612.5,27597.424040147573,31905.589319295243,4311.458265460162,3.992852918004914e+16
2460757.5,2025-03-23T00:00:00,3.0842990234623904e+16,-2.535966512249814e+16,-542919732096620.4,27382.348220365246,32082.40469958438,4315.3811759550445,3.993366278685006e+16
2460758.5,2025-03-24T00:00:00,3.10465914948448e+16,-2.5119516748562016e+16,-510691646096560.8,27165.95369739342,32257.46538894913,4319.077723823175,3.9939225970046664e+16
2460759.5,2025-03-25T00:00:00,3.12485725173097e+16,-2.4878068143395468e+16,-478436810681986.25,26948.260014068994,32430.758406344612,4322.547824520505,3.9945218245727576e+16
2460760.5,2025-03-26T00:00:00,3.1448923677282508e+16,-2.4635332550166236e+16,-446156916482359.56,26729.286873654655,32602.27105527778,4325.79142731195,3.995163909417166e+16
2460761.5,2025-03-27T00:00:00,3.1647635497693196e+16,-2.439132330575089e+16,-413853654379883.1,26509.054134474016,32771.99092634673,4328.808515204132,3.995848795997867e+16
2460762.5,2025-03-28T00:00:00,3.184469865027535e+16,-2.4146053838582536e+16,-381528715257905.4,26287.581804500278,32939.905899660815,4331.5991048652,3.9965764252208936e+16
2460763.5,2025-03-29T00:00:00,3.204010395666284e+16,-2.3899537666481052e+16,-349183789750018.3,26064.89003590344,33106.004147137566,4334.163246531384,3.9973467344531576e+16
2460764.5,2025-03-30T00:00:00,3.2233842389445824e+16,-2.3651788394466436e+16,-316820567989822.94,25840.999119558124,33270.27413467744,4336.501023900768,3.998159657538144e+16
2460765.5,2025-03-31T00:00:00,3.242590507318558e+16,-2.340281971255663e+16,-284440739361590.9,25615.929479515646,33432.70462421437,4338.612554014163,3.9990151248124584e+16
2460766.5,2025-04-01T00:00:00,3.2616283285387884e+16,-2.3152645393550304e+16,-252045992251840.56,25389.70166744451,33593.28467564216,4340.4979871231835,3.999913063123209e+16
2460767.5,2025-04-02T00:00:00,3.280496845743487e+16,-2.2901279290795804e+16,-219638013801954.28,25162.33635704123,33752.003648615886,4342.1575065457855,4.000853395846237e+16
2460768.5,2025-04-03T00:00:00,3.2991952175474996e+16,-2.2648735335947132e+16,-187218489661929.34,24933.854338414912,33908.851204228944,4343.591328509473,4.0018360429051576e+16
2460769.5,2025-04-04T00:00:00,3.3177226181271036e+16,-2.2395027536707844e+16,-154789103745306.6,24704.276512450666,34063.8173065631,4344.799701982029,4.002860920791225e+16
2460770.5,2025-04-05T00:00:00,3.3360782373005868e+16,-2.214016997456382e+16,-122351537985458.62,24473.623885152687,34216.89222411368,4345.7829084901805,4.0039279425839864e+16
2460771.5,2025-04-06T00:00:00,3.354261280604613e+16,-2.188417680250596e+16,-89907472093243.02,24241.9175619721,34368.066531088785,4346.541261926331,4.005037017972753e+16
2460772.5,2025-04-07T00:00:00,3.372270969366329e+16,-2.16270622427436e+16,-57458583316153.3,24009.178742122127,34517.331108581544,4347.075108343408,4.006188053278821e+16
2460773.5,2025-04-08T00:00:00,3.390106540771234e+16,-2.1368840584409536e+16,-25006546199043.945,23775.428712883975,34664.677145617265,4347.3848257381605,4.007380951478473e+16
