id,tried_id,name,source,moid_au,moid_km,intersects,date,velocity_km_s,miss_distance_km,diameter_m
,,3271 Ul (1982 RB),neo,,,,1949-02-26,13.670272508,11184173.439990127,2087.097
,,10860 (1995 LE),neo,,,,1916-10-27,9.375190993,11188312.79809324,1696.456
,,20425 (1998 VD35),neo,,,,1901-05-14,14.4362763022,11271381.323829396,340.050
,,138325 (2000 GO82),neo,,,,1924-03-20,35.1901539699,11284414.185545287,1984.004
,,190161 (2005 TJ174),neo,,,,1958-12-13,7.3578257153,11299880.869967995,1903.455
,,159635 (2002 CZ46),neo,,,,1905-12-10,10.7337463311,11321723.610087334,1003.558
,,22753 (1998 WT),neo,,,,1900-05-14,17.7479375832,11361538.634394224,1251.822
,,5496 (1973 NA),neo,,,,1916-07-03,38.1146524461,11447613.613563983,2532.460
,,86324 (1999 WA2),neo,,,,2184-01-14,17.2931443944,11459548.785948962,2934.557
,,7977 (1977 QQ5),neo,,,,1994-03-14,13.9752161632,11462293.906863462,4013.679
,,152770 (1999 RR28),neo,,,,1904-10-15,16.5524183138,11573531.322566156,894.422
,,153201 (2000 WO107),neo,,,,1900-11-09,37.7891512682,11611598.594957836,593.667
,,8037 (1993 HO1),neo,,,,1942-11-12,10.7474151581,11612268.045426086,2030.218
,,136582 (1992 BA),neo,,,,2058-03-10,4.9778371951,11624944.879171164,454.509
,,68216 (2001 CV26),neo,,,,1915-10-03,13.4735400836,11641190.444904027,2087.097
,,66008 (1998 QH2),neo,,,,1916-03-07,34.1648967139,11652389.117055422,2802.481
,,152664 (1998 FW4),neo,,,,1909-06-10,15.0949302948,11759924.853143262,498.359
,,137078 (1998 XZ4),neo,,,,1912-03-30,21.6300838173,11782625.64176556,2320.292
,,189008 (1996 FR3),neo,,,,1916-04-12,28.8596073394,11797543.870477274,2277.942
,,152679 (1998 KU2),neo,,,,1907-08-15,7.899064074,11870801.408863942,2116.131
,,2340 Hathor (1976 UA),neo,,,,1901-07-04,17.4915658691,11911205.968456928,352.811
,,4183 Cuno (1959 LM),neo,,,,1903-09-16,17.9568235438,11911798.540579785,6332.025
,,177049 (2003 EE16),neo,,,,1904-11-11,22.0832781305,11933091.942360697,471.566
,,4957 Brucemurray (1990 XJ),neo,,,,1939-05-07,15.328703408,11941824.568424077,4202.838
,,152558 (1990 SA),neo,,,,1902-03-03,19.4763732897,11974199.866259062,1826.176
,,225586 (2000 WS67),neo,,,,1905-10-30,27.1307264979,12059828.639861972,858.109
,,179806 (2002 TD66),neo,,,,1911-11-10,11.7052561721,12076923.427823464,347.971
,,241596 (1998 XM2),neo,,,,1979-08-16,12.997027616,12122105.230837243,1533.002
