id,name,min_dist_km,min_epoch_jd,intersects,points,error
2008507,8507 (1991 CB1),,,,,no_vectors_parsed
2008566,8566 (1996 EN),,,,,no_vectors_parsed
2008567,8567 (1996 HW1),,,,,no_vectors_parsed
2008709,8709 Kadlu (1994 JF1),,,,,no_vectors_parsed
2009058,9058 (1992 JB),,,,,no_vectors_parsed
2009162,9162 Kwiila (1987 OA),,,,,no_vectors_parsed
2009172,9172 Abhramu (1989 OB),,,,,no_vectors_parsed
2009202,9202 (1993 PB),,,,,no_vectors_parsed
2009400,9400 (1994 TW1),,,,,no_vectors_parsed
2009856,9856 (1991 EE),,,,,no_vectors_parsed
2009950,9950 ESA (1990 VB),,,,,no_vectors_parsed
2010115,10115 (1992 SK),,,,,no_vectors_parsed
2010145,10145 (1994 CK1),,,,,no_vectors_parsed
2010150,10150 (1994 PN),,,,,no_vectors_parsed
2010165,10165 (1995 BL2),,,,,no_vectors_parsed
2010302,10302 (1989 ML),,,,,no_vectors_parsed
2010563,10563 Izhdubar (1993 WD),,,,,no_vectors_parsed
2010636,10636 (1998 QK56),,,,,no_vectors_parsed
2010860,10860 (1995 LE),,,,,no_vectors_parsed
2011054,11054 (1991 FA),,,,,no_vectors_parsed
2011066,11066 Sigurd (1992 CC1),,,,,no_vectors_parsed
2011284,11284 Belenus (1990 BA),,,,,no_vectors_parsed
2011311,11311 Peleus (1993 XN2),,,,,no_vectors_parsed
2011398,11398 (1998 YP11),,,,,no_vectors_parsed
2011405,11405 (1999 CV3),,,,,no_vectors_parsed
2011500,11500 Tomaiyowit (1989 UR),,,,,no_vectors_parsed
2011885,11885 Summanus (1990 SS),,,,,no_vectors_parsed
2012538,12538 (1998 OH),,,,,no_vectors_parsed
2012711,12711 Tukmit (1991 BB),,,,,no_vectors_parsed
2012923,12923 Zephyr (1999 GK4),,,,,no_vectors_parsed
2013553,13553 Masaakikoyama (1992 JE),,,,,no_vectors_parsed
2013651,13651 (1997 BR),,,,,no_vectors_parsed
2014402,14402 (1991 DB),,,,,no_vectors_parsed
2014827,14827 Hypnos (1986 JK),,,,,no_vectors_parsed
2015745,15745 Yuliya (1991 PM5),,,,,no_vectors_parsed
2015817,15817 Lucianotesi (1994 QC),,,,,no_vectors_parsed
2016064,16064 Davidharvey (1999 RH27),,,,,no_vectors_parsed
2016636,16636 (1993 QP),,,,,no_vectors_parsed
2016657,16657 (1993 UB),,,,,no_vectors_parsed
2016816,16816 (1997 UF9),,,,,no_vectors_parsed
2016834,16834 (1997 WU22),,,,,no_vectors_parsed
2016912,16912 Rhiannon (1998 EP8),,,,,no_vectors_parsed
2016960,16960 (1998 QS52),,,,,no_vectors_parsed
2017181,17181 (1999 UM3),,,,,no_vectors_parsed
2017182,17182 (1999 VU),,,,,no_vectors_parsed
2017188,17188 (1999 WC2),,,,,no_vectors_parsed
2017274,17274 (2000 LC16),,,,,no_vectors_parsed
2017511,17511 (1992 QN),,,,,no_vectors_parsed
2018106,18106 Blume (2000 NX3),,,,,no_vectors_parsed
2018109,18109 (2000 NG11),,,,,no_vectors_parsed
2018172,18172 (2000 QL7),,,,,no_vectors_parsed
2018736,18736 (1998 NU),,,,,no_vectors_parsed
2018882,18882 (1999 YN4),,,,,no_vectors_parsed
2019356,19356 (1997 GH3),,,,,no_vectors_parsed
2019764,19764 (2000 NF5),,,,,no_vectors_parsed
2020086,20086 (1994 LW),,,,,no_vectors_parsed
2020236,20236 (1998 BZ7),,,,,no_vectors_parsed
2020255,20255 (1998 FX2),,,,,no_vectors_parsed
2020425,20425 (1998 VD35),,,,,no_vectors_parsed
2020429,20429 (1998 YN1),,,,,no_vectors_parsed
2020460,20460 Robwhiteley (1999 LO28),,,,,no_vectors_parsed
2020790,20790 (2000 SE45),,,,,no_vectors_parsed
2020826,20826 (2000 UV13),,,,,no_vectors_parsed
2021088,21088 Chelyabinsk (1992 BL2),,,,,no_vectors_parsed
2021277,21277 (1996 TO5),,,,,no_vectors_parsed
2021374,21374 (1997 WS22),,,,,no_vectors_parsed
2022099,22099 (2000 EX106),,,,,no_vectors_parsed
2022753,22753 (1998 WT),,,,,no_vectors_parsed
2022771,22771 (1999 CU3),,,,,no_vectors_parsed
2023183,23183 (2000 OY21),,,,,no_vectors_parsed
2023187,23187 (2000 PN9),,,,,no_vectors_parsed
2023548,23548 (1994 EF2),,,,,no_vectors_parsed
2023606,23606 (1996 AS1),,,,,no_vectors_parsed
2023714,23714 (1998 EC3),,,,,no_vectors_parsed
2024443,24443 (2000 OG),,,,,no_vectors_parsed
2024445,24445 (2000 PM8),,,,,no_vectors_parsed
2024475,24475 (2000 VN2),,,,,no_vectors_parsed
2024761,24761 Ahau (1993 BW2),,,,,no_vectors_parsed
2025143,25143 Itokawa (1998 SF36),,,,,no_vectors_parsed
